symbol,name,days,trades,win_rate,total_return,max_dd,final_value,hold_return,outperform,start_date,end_date
ADA-USD,Cardano,2191,73,31.506849315068493,12539.32980809638,-68.65522956056263,1263932.980809638,1921.3341192455416,10617.995688850839,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
ETH-USD,Ethereum,2191,78,33.33333333333333,3138.833934425417,-47.713753631769606,323883.3934425417,2283.472935257366,855.360999168051,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
BNB-USD,BNB,2191,77,29.87012987012987,1073.0947436556535,-61.75353634578064,117309.47436556533,11490.36469613966,-10417.269952484006,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
DOGE-USD,Dogecoin,2191,81,30.864197530864196,692.0029008840968,-65.49404364740332,79200.29008840967,13006.77204264694,-12314.769141762843,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
XRP-USD,XRP,2191,82,23.170731707317074,547.8080497949569,-67.38776802086281,64780.80497949569,464.07194826271655,83.73610153224035,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
LTC-USD,Litecoin,2191,90,28.888888888888886,66.05948149320498,-76.29877958932218,16605.9481493205,210.53606632291374,-144.47658482970877,2019-01-01 00:00:00+00:00,2024-12-30 00:00:00+00:00
SOL-USD,Solana,1726,87,41.37931034482759,17.727777468044295,-43.760752042625164,11772.77774680443,19985.931006180857,-19968.203228712813,2020-04-10 00:00:00+00:00,2024-12-30 00:00:00+00:00
AVAX-USD,Avalanche,1563,103,50.48543689320388,-33.5364734679848,-46.614947672124245,6646.35265320152,633.331262228809,-666.8677356967938,2020-07-13 00:00:00+00:00,2024-12-30 00:00:00+00:00
DOT-USD,Polkadot,1594,101,44.554455445544555,-34.246703269774024,-52.274547671910966,6575.3296730225975,130.91322403156838,-165.1599273013424,2020-08-20 00:00:00+00:00,2024-12-30 00:00:00+00:00
MATIC-USD,Polygon,2074,127,44.881889763779526,-36.8905801677058,-38.911800337130636,6310.94198322942,10309.138463401981,-10346.029043569688,2019-04-28 00:00:00+00:00,2024-12-30 00:00:00+00:00
