date,type,price,position_change,cash_change,z_score,reason,total_position,total_value,pnl,pnl_pct
2015-04-04 00:00:00+00:00,BUY,253.69700622558594,7.883419791803185,-2000.0,-0.9040565624718682,轻度低估买入20%,7.883419791803185,10000.0,,
2015-04-08 00:00:00+00:00,BUY,245.02200317382812,12.243798357454793,-3000.0,-1.0140636551319415,低估买入30%,20.127218149257978,9931.611309247819,,
2015-08-18 00:00:00+00:00,BUY,211.07899475097656,14.212688493894396,-3000.0,-1.7893815920451697,深度低估买入30%,34.339906643152375,9248.432974078984,,
2015-08-19 00:00:00+00:00,BUY,226.6840057373047,8.822854499570306,-2000.0,-1.0906797124611358,轻度低估买入20%,43.16276114272268,9784.30759451486,,
2015-11-03 00:00:00+00:00,SELL,403.4169921875,-8.632552228544537,3482.518254940937,5.628130329973519,高估卖出20%,34.53020891417815,17412.591274704682,1292.465598473178,59.01527502803241
2016-06-13 00:00:00+00:00,SELL,704.3759765625,-6.906041782835629,4864.449924966275,5.1498964003248,高估卖出20%,27.624167131342517,27804.767879772313,3112.4077997920676,177.64457572517546
2017-12-07 00:00:00+00:00,SELL,17899.69921875,-5.524833426268504,98892.85656390223,5.369655041722956,高估卖出20%,22.099333705074013,502811.25099941826,97491.22286376286,6955.542154420888
2018-03-29 00:00:00+00:00,BUY,7165.7001953125,0.27910740688095154,-2000.0,-0.5751352193148754,轻度低估买入20%,22.378441111954963,265597.0245905344,,
2018-05-28 00:00:00+00:00,BUY,7135.990234375,0.42040416276757314,-3000.0,-1.0501934981174186,低估买入30%,22.798845274722535,264932.1619792561,,
2018-11-15 00:00:00+00:00,BUY,5648.02978515625,0.5311586719822878,-3000.0,-1.5468086063601543,深度低估买入30%,23.33000394670482,231008.38192261115,,
2018-11-19 00:00:00+00:00,BUY,4871.490234375,0.4105519879496577,-2000.0,-2.4591795992994956,极度低估买入20%,23.740555934654477,212891.71113811218,,
2019-10-23 00:00:00+00:00,BUY,7514.671875,0.26614601851794095,-2000.0,-0.6870128292764761,轻度低估买入20%,24.006701953172417,275642.3127228218,,
2019-11-15 00:00:00+00:00,BUY,8491.9921875,0.23551599622806413,-2000.0,-0.545988727497893,轻度低估买入20%,24.24221794940048,299104.5501777906,,
2019-11-21 00:00:00+00:00,BUY,7642.75,0.39252886722711067,-3000.0,-1.2586804098920603,低估买入30%,24.63474681662759,278517.03597658995,,
2019-11-22 00:00:00+00:00,BUY,7296.57763671875,0.4111516589507696,-3000.0,-1.5287659350396563,深度低估买入30%,25.04589847557836,269989.1674522427,,
2020-03-08 00:00:00+00:00,BUY,8108.1162109375,0.24666642016083662,-2000.0,-0.5704643683007382,轻度低估买入20%,25.292564895739194,290314.88019114116,,
2020-03-12 00:00:00+00:00,BUY,4970.7880859375,0.4023506867367886,-2000.0,-3.44815122910053,极度低估买入20%,25.694915582475982,210963.80499035085,,
2020-03-13 00:00:00+00:00,BUY,5563.70703125,0.5392088374081748,-3000.0,-2.8296700513102278,深度低估买入30%,26.234124419884157,226198.80723740626,,
2020-03-14 00:00:00+00:00,BUY,5200.3662109375,0.5768824498725394,-3000.0,-3.0825749382250285,低估买入30%,26.811006869756696,216666.87895050534,,
2021-06-07 00:00:00+00:00,BUY,33560.70703125,0.05959350016487147,-2000.0,-0.595783858640674,轻度低估买入20%,26.87060036992157,977036.171512545,,
2021-07-08 00:00:00+00:00,BUY,32877.37109375,0.09124817162070178,-3000.0,-1.0607771169249525,低估买入30%,26.96184854154227,958674.5246175769,,
2021-09-21 00:00:00+00:00,BUY,40693.67578125,0.04914768601271255,-2000.0,-0.5461114278308707,轻度低估买入20%,27.010996227554983,1169416.5477564987,,
2022-01-06 00:00:00+00:00,BUY,43160.9296875,0.04633820481812345,-2000.0,-0.5122671417639929,轻度低估买入20%,27.057334432373107,1236059.5337106378,,
2022-01-21 00:00:00+00:00,BUY,36457.31640625,0.08228800953340877,-3000.0,-1.373484186309513,低估买入30%,27.139622441906514,1054677.6272545585,,
2022-01-22 00:00:00+00:00,BUY,35030.25,0.08564026805403901,-3000.0,-1.5353689313423136,深度低估买入30%,27.225262709960553,1015947.5837894051,,
2022-05-11 00:00:00+00:00,BUY,28936.35546875,0.06911720455466179,-2000.0,-2.0049066131101427,极度低估买入20%,27.294379914515215,850039.704249332,,
2023-08-25 00:00:00+00:00,BUY,26047.66796875,0.07678230551769345,-2000.0,-0.5216535322268276,轻度低估买入20%,27.371162220032907,771194.7701700208,,
2023-08-31 00:00:00+00:00,BUY,25931.47265625,0.07712635632045217,-2000.0,-0.6574244936225585,轻度低估买入20%,27.44828857635336,768014.3694223758,,
2023-09-11 00:00:00+00:00,BUY,25162.654296875,0.11922430617236497,-3000.0,-1.077731276144043,低估买入30%,27.567512882525726,746911.6212314522,,
2024-08-05 00:00:00+00:00,BUY,53991.45703125,0.03704289733915515,-2000.0,-0.8803074500695734,轻度低估买入20%,27.60455577986488,1541650.011999128,,
2024-08-27 00:00:00+00:00,BUY,59504.1328125,0.03361111078287761,-2000.0,-0.7276288297509127,轻度低估买入20%,27.63816689064776,1693824.9780989538,,
2024-09-01 00:00:00+00:00,BUY,57325.48828125,0.05233274220502783,-3000.0,-1.2667835956427203,低估买入30%,27.690499632852788,1633611.2369488694,,
2024-09-05 00:00:00+00:00,BUY,56160.48828125,0.05341833897483391,-3000.0,-1.5851946150462286,深度低估买入30%,27.74391797182762,1601351.8048765957,,
2024-09-06 00:00:00+00:00,BUY,53948.75390625,0.03707221863688493,-2000.0,-2.0555566279352107,极度低估买入20%,27.780990190464507,1539989.6278011242,,
2024-10-01 00:00:00+00:00,BUY,60837.0078125,0.032874726616470215,-2000.0,-0.6679797739149723,轻度低估买入20%,27.813864917080977,1731352.1420000845,,
