entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,position_sold
2020-02-09 00:00:00+00:00,2020-02-26 00:00:00+00:00,10116.673828125,8902.67296875,-489.75255728104617,-12.00000000000001,full仓止损-12%,0.4034202723161032
2020-02-09 00:00:00+00:00,2020-02-26 00:00:00+00:00,10116.673828125,8902.67296875,-306.0953483006538,-12.00000000000001,full2仓止损-12%,0.2521376701975645
2020-02-09 00:00:00+00:00,2020-02-27 00:00:00+00:00,10116.673828125,8599.17275390625,-382.6191853758169,-14.999999999999991,mid仓止损-15%,0.2521376701975645
2020-01-27 00:00:00+00:00,2020-03-12 00:00:00+00:00,8909.8193359375,7573.346435546875,-225.0,-15.000000000000002,base仓止损-15%,0.16835358198002884
2020-03-24 00:00:00+00:00,2020-03-29 00:00:00+00:00,6734.8037109375,5926.627265625,-430.5090149200405,-12.0,full仓止损-12%,0.5326918613095367
2020-03-24 00:00:00+00:00,2020-03-29 00:00:00+00:00,6734.8037109375,5926.627265625,-269.06813432502526,-12.0,full2仓止损-12%,0.3329324133184604
2020-03-17 00:00:00+00:00,2020-05-10 00:00:00+00:00,6092.386374860733,8756.4306640625,509.6282770367479,43.727434953806025,第1批止盈,0.19129872543877594
2020-03-17 00:00:00+00:00,2020-09-08 00:00:00+00:00,6092.386374860733,10131.5166015625,772.680464249282,66.29799848822127,第2批止盈,0.19129872543877588
2020-03-17 00:00:00+00:00,2021-01-21 00:00:00+00:00,6092.386374860734,30825.69921875,4874.828532699811,405.9708515196502,第3批止盈,0.1970956565126782
2021-01-29 00:00:00+00:00,2021-02-23 00:00:00+00:00,37554.32614733557,48824.42578125,1482.3754037201206,30.01012344010341,第1批止盈,0.13153170352277077
2021-01-29 00:00:00+00:00,2021-04-22 00:00:00+00:00,37554.32614733555,51762.2734375,1868.7955106370641,37.833050803316006,第2批止盈,0.13153170352277074
2021-02-05 00:00:00+00:00,2021-05-19 00:00:00+00:00,38144.30859375,32422.6623046875,-182.18792194399148,-15.000000000000002,mid仓止损-15%,0.03184187080775369
2021-02-05 00:00:00+00:00,2021-05-19 00:00:00+00:00,38144.30859375,33566.9915625,-233.20054008830914,-12.0,full仓止损-12%,0.050946993292405915
2021-02-05 00:00:00+00:00,2021-05-19 00:00:00+00:00,38144.30859375,33566.9915625,-145.7503375551932,-12.0,full2仓止损-12%,0.03184187080775369
2021-01-29 00:00:00+00:00,2021-06-22 00:00:00+00:00,34316.38671875,29168.9287109375,-107.5138117084419,-15.000000000000002,base仓止损-15%,0.02088677781251716
2021-06-27 00:00:00+00:00,2021-07-20 00:00:00+00:00,34649.64453125,29452.197851562498,-376.5737550790015,-15.000000000000002,base仓止损-15%,0.07245360621989932
2021-07-21 00:00:00+00:00,2021-09-07 00:00:00+00:00,34854.293598631826,46811.12890625,1969.9014119198866,34.30520051649397,第1批止盈,0.1647510700983549
2021-07-21 00:00:00+00:00,2021-11-22 00:00:00+00:00,34854.293598631826,56289.2890625,3531.438440225665,61.49886642576967,第2批止盈,0.1647510700983549
2021-07-25 00:00:00+00:00,2022-05-09 00:00:00+00:00,35350.1875,31108.165,-271.0362027610198,-12.0,full仓止损-12%,0.06389315539015172
2021-07-25 00:00:00+00:00,2022-05-09 00:00:00+00:00,35350.1875,31108.165,-169.39762672563742,-12.0,full2仓止损-12%,0.039933222118844834
2021-07-25 00:00:00+00:00,2022-05-10 00:00:00+00:00,35350.1875,30047.659375,-211.74703340704684,-15.000000000000002,mid仓止损-15%,0.039933222118844834
2021-07-21 00:00:00+00:00,2022-05-12 00:00:00+00:00,32110.693359375,27294.08935546875,-125.15428750050604,-15.000000000000002,base仓止损-15%,0.025983927140160647
2022-05-13 00:00:00+00:00,2022-06-13 00:00:00+00:00,29283.103515625,24890.63798828125,-474.39095137912875,-15.000000000000002,base仓止损-15%,0.10800106419184732
2022-07-09 00:00:00+00:00,2022-07-13 00:00:00+00:00,21592.20703125,19001.1421875,-996.7641192510376,-11.99999999999999,full仓止损-12%,0.38469284998998327
2022-07-09 00:00:00+00:00,2022-07-13 00:00:00+00:00,21592.20703125,19001.1421875,-622.9775745318985,-11.99999999999999,full2仓止损-12%,0.24043303124373955
2022-07-09 00:00:00+00:00,2022-09-21 00:00:00+00:00,21592.20703125,18353.3759765625,-778.7219681648736,-15.000000000000002,mid仓止损-15%,0.24043303124373955
2022-06-19 00:00:00+00:00,2022-11-09 00:00:00+00:00,20553.271484375,17470.28076171875,-463.71715497309856,-15.000000000000002,base仓止损-15%,0.1504114662315844
2022-11-23 00:00:00+00:00,2023-02-10 00:00:00+00:00,16865.18014281328,21651.18359375,1749.1245584797937,28.37801559431412,第1批止盈,0.36546663127404416
2022-11-23 00:00:00+00:00,2023-06-14 00:00:00+00:00,16865.180142813275,25124.67578125,3018.57004700213,48.973657965677454,第2批止盈,0.3654666312740441
2022-11-23 00:00:00+00:00,2024-08-05 00:00:00+00:00,16865.180142813275,53991.45703125,13979.579447563292,220.13566753544148,第3批止盈,0.3765413776762879
2024-08-08 00:00:00+00:00,2024-12-21 00:00:00+00:00,59801.75308332632,97224.7265625,7876.7588834040325,62.578388675377816,第1批止盈,0.21047923644516225
