trade_id,entry_date,exit_date,entry_price,exit_price,position_sold,pnl,pnl_pct,exit_batch,exit_reason,highest_price
1,2020-01-27 00:00:00+00:00,2020-03-09 00:00:00+00:00,9927.855066221877,7923.64453125,1.0760491946912611,-2156.6291321482295,-20.187749736505722,1,固定止损-20%,
2,2020-03-17 00:00:00+00:00,2020-03-29 00:00:00+00:00,6477.140649228749,5922.04296875,1.318689798418304,-732.0016483729893,-8.570103855083733,1,超出最大回撤31.8%,
3,2020-03-30 00:00:00+00:00,2020-05-10 00:00:00+00:00,6437.385743911893,8756.4306640625,0.3828453445818736,887.8355515559027,36.024638143579104,1,第1批止盈(盈利15%+回撤10%),9951.5185546875
3,2020-03-30 00:00:00+00:00,2021-01-21 00:00:00+00:00,6437.385743911893,30825.69921875,0.3828453445818736,9336.952276045145,378.8543120614321,2,第2批止盈(盈利30%+回撤18%),40797.609375
3,2020-03-30 00:00:00+00:00,2021-01-27 00:00:00+00:00,6437.385743911893,30432.546875,0.39444671866011216,9464.812571878369,372.74698279159895,3,第3批止盈(盈利60%+回撤25%),40797.609375
4,2021-01-29 00:00:00+00:00,2021-02-23 00:00:00+00:00,37554.32614733557,48824.42578125,0.2508292197561072,2826.8702977483467,30.01012344010341,1,第1批止盈(盈利15%+回撤10%),57539.9453125
4,2021-01-29 00:00:00+00:00,2021-04-22 00:00:00+00:00,37554.32614733557,51762.2734375,0.25082921975610717,3563.7683331278417,37.833050803315956,2,第2批止盈(盈利30%+回撤18%),63503.45703125
4,2021-01-29 00:00:00+00:00,2021-07-20 00:00:00+00:00,37554.32614733557,29807.34765625,0.25843010520326193,-2002.0524664586503,-20.628724532806476,3,固定止损-20%,
5,2021-07-21 00:00:00+00:00,2021-09-07 00:00:00+00:00,34854.29359863183,46811.12890625,0.31408929628198096,3755.513987529333,34.30520051649395,1,第1批止盈(盈利15%+回撤10%),52633.53515625
5,2021-07-21 00:00:00+00:00,2021-11-26 00:00:00+00:00,34854.29359863183,53569.765625,0.3140892962819809,5878.329438347077,53.69631713638523,2,第2批止盈(盈利30%+回撤18%),67566.828125
5,2021-07-21 00:00:00+00:00,2022-05-11 00:00:00+00:00,34854.29359863183,28936.35546875,0.3236071537450712,-1915.0871142504895,-16.97907924352291,3,超出最大回撤30.3%,
6,2022-05-13 00:00:00+00:00,2022-06-13 00:00:00+00:00,29167.75117004001,22487.388671875,0.5332652187600835,-3562.404968980622,-22.903248382846954,1,固定止损-20%,
7,2022-06-19 00:00:00+00:00,2022-11-09 00:00:00+00:00,21438.395638516147,15880.7802734375,1.7424067040203353,-9683.626270479459,-25.923653331100272,1,超出最大回撤36.7%,
8,2022-11-23 00:00:00+00:00,2023-03-07 00:00:00+00:00,16758.726373036905,22219.76953125,0.5335148053076904,2913.5473773309536,32.58626602436425,1,第1批止盈(盈利15%+回撤10%),24829.1484375
8,2022-11-23 00:00:00+00:00,2023-09-01 00:00:00+00:00,16758.726373036905,25800.724609375,0.5335148053076902,4824.039928652397,53.95397021867816,2,第2批止盈(盈利30%+回撤18%),31476.048828125
8,2022-11-23 00:00:00+00:00,2024-08-05 00:00:00+00:00,16758.726373036905,53991.45703125,0.5496819206200446,20466.158898135393,222.16921399299645,3,第3批止盈(盈利60%+回撤25%),73083.5
9,2024-08-08 00:00:00+00:00,2024-12-22 00:00:00+00:00,59556.38841213557,95104.9375,0.31259353110590177,11112.246485067024,59.68889322479607,1,第1批止盈(盈利15%+回撤10%),106140.6015625
