date,type,price,z_score,reason,position,leverage,borrowed,pnl_pct
2020-01-02,BUY,6985.47021484375,0.9536409931043888,正常偏低买入30%(无杠杆),0.42946285757903035,1.0,0.0,
2020-01-03,BUY,7344.88427734375,1.2024932834173223,正常买入20%(无杠杆),0.7017612253244909,1.0,0.0,
2020-03-12,BUY,4970.7880859375,-0.6528049787759944,低估买入30%(3x杠杆),2.5123393156400393,3.0,6000.0,
2020-10-21,SELL,12823.689453125,4.582906332230507,偏高卖出15%,2.1354884182940332,,3583.690561151666,83.57661057483784
2020-11-05,SELL,15579.8486328125,5.923517585598178,高估卖出20%,1.7083907346352265,,256.6319297371433,123.0322104832135
2020-12-19,SELL,23869.83203125,4.507256586335058,偏高卖出15%,1.4521321244399426,,0.0,241.7068758024032
2021-01-02,SELL,32127.267578125,4.569965015795185,偏高卖出15%,1.2343123057739511,,0.0,359.9156046769232
2021-04-22,BUY,51762.2734375,1.8849059301727344,正常买入20%(无杠杆),1.2729504850342745,1.0,0.0,
2021-05-23,BUY,34770.58203125,0.9702141271964196,正常偏低买入30%(无杠杆),1.3592303177188052,1.0,0.0,
2021-10-19,SELL,64261.9921875,4.617082855383405,偏高卖出15%,1.1553457700609844,,0.0,819.9379599521692
2021-11-08,SELL,67566.828125,4.529751570613496,偏高卖出15%,0.9820439045518368,,0.0,867.2481028037898
2022-01-05,BUY,43569.00390625,1.9748250754094088,正常买入20%(无杠杆),1.0279480983751226,1.0,0.0,
2022-05-09,BUY,30296.953125,0.752014518301782,正常偏低买入30%(无杠杆),1.1269679564982322,1.0,0.0,
2022-06-13,BUY,22487.388671875,-0.1287658291421737,低估买入30%(3x杠杆),1.5271922836232537,3.0,6000.0,
2022-11-21,BUY,15787.2841796875,-1.0768192028487733,极度低估买入20%(3x杠杆),1.9072449850068027,3.0,10000.0,
2023-04-20,BUY,28245.98828125,1.971709825584672,正常买入20%(无杠杆),1.97805150025724,1.0,10000.0,
2023-10-01,SELL,27983.75,4.822281108772196,偏高卖出15%,1.6813437752186542,,5848.502599725734,300.599374692573
2023-10-20,SELL,29682.94921875,5.915468759184415,高估卖出20%,1.3450750201749233,,857.7784098180609,324.92413976192074
2023-10-23,SELL,33086.234375,7.678638579144249,深度高估卖出25%,1.0088062651311924,,0.0,373.6436253739014
2023-10-24,SELL,33901.52734375,7.954199624051,极度高估卖出20%,0.8070450121049539,,0.0,385.31489364468365
2024-03-04,SELL,68330.4140625,4.5807272714375085,偏高卖出15%,0.6859882602892109,,0.0,878.1791627613204
2024-08-21,SELL,61175.19140625,4.657169758481957,偏高卖出15%,0.5830900212458292,,0.0,775.7490838090755
2024-08-24,SELL,64178.9921875,5.541651557204727,高估卖出20%,0.46647201699666335,,0.0,818.7497793795337
2024-09-13,SELL,60571.30078125,6.624461437291975,深度高估卖出25%,0.3498540127474975,,0.0,767.1041306931526
2024-09-26,SELL,65181.01953125,7.653416722091752,极度高估卖出20%,0.279883210197998,,0.0,833.0942302601737
2024-10-15,SELL,67041.109375,8.519960637552161,泡沫区卖出20%,0.2239065681583984,,0.0,859.7222135818606
2025-04-28,SELL,94978.75,4.627329353100895,偏高卖出15%,0.19032058293463866,,0.0,1259.6615128094777
2025-05-08,SELL,103241.4609375,6.019342935682737,高估卖出20%,0.15225646634771092,,0.0,1377.945761161753
2025-05-14,SELL,103539.4140625,6.509069611714764,深度高估卖出25%,0.11419234976078318,,0.0,1382.2110878446563
2025-05-21,SELL,109678.078125,7.70669837355281,极度高估卖出20%,0.09135387980862655,,0.0,1470.0886948446214
