strategy,return,final_value,max_dd,trades,win_rate,avg_win,avg_loss,profit_factor,expected_return,avg_holding
趋势强度止盈,281.1426534747145,38114.26534747145,-21.15504915912444,101,50.495049504950494,28.44006914337372,-9.582195140533665,2.9680118935450728,9.61716603252848,28.15841584158416
ATR追踪止盈,234.51183114357596,33451.1831143576,-15.27676723947331,117,47.863247863247864,24.4450090558931,-8.343806731461607,2.9297189930969316,7.3499854402637235,22.564102564102566
百分比移动止盈(20%),210.88893287922753,31088.89328792275,-22.434585246612016,33,48.484848484848484,68.02607206525957,-13.379924321769277,5.084189598485279,26.08964968406289,102.21212121212122
波动率自适应止盈,210.50142361423133,31050.142361423135,-18.756814291838623,128,48.4375,20.370412495390436,-7.019384642587278,2.9020225465065974,6.247548346120678,18.78125
时间+盈利混合止盈,208.8699005745974,30886.99005745974,-10.091761330723754,130,45.38461538461539,21.47724029260409,-6.601979016986859,3.2531518560333588,6.141666669673649,17.8
分段止盈,205.1489641370564,30514.89641370564,-12.17396386687817,196,64.28571428571429,31.0048028096088,-6.6234103776171835,4.681093431019291,17.56615524274238,20.8265306122449
百分比移动止盈(12%),183.7718998883153,28377.189988831527,-18.263934217880983,47,42.5531914893617,52.35419396421979,-10.295960817507982,5.084925524890596,16.363679515142135,70.87234042553192
百分比移动止盈(15%),152.50227642428973,25250.227642428974,-17.832547345447697,41,46.34146341463415,46.65058131347649,-12.048380837765695,3.87193780987152,15.15357723232215,79.97560975609755
SAR追踪止盈,84.70785346583692,18470.785346583692,-10.88817768313111,194,42.2680412371134,9.529927469888394,-3.110063967872326,3.064222333795938,2.232612825407978,6.195876288659794
