period_num,start_date,end_date,duration,min_wt1,min_wt1_date,min_wt1_price,exit_price,return_5d,return_20d,return_60d
1,2021-05-21,2021-06-12,23,-75.4955994395902,2021-05-31,37290.83,35541.78,0.8117488769555203,-2.41670507217141,24.995202828896023
2,2021-07-08,2021-07-10,3,-34.91142107600246,2021-07-08,32874.01,33515.13,-6.305719237848695,23.749243998158455,38.423601519671855
3,2021-07-15,2021-07-25,11,-51.32609090601167,2021-07-21,32139.48,35369.93,17.259830596215497,32.92630208767731,21.14360984033614
4,2021-09-25,2021-10-01,7,-49.441136473345416,2021-09-28,41056.79,48164.35,11.695081528142715,26.013514144797956,18.818109244700707
5,2021-11-29,2021-12-25,27,-76.40138645197808,2021-12-06,50552.83,50431.63,-8.396159315096497,-14.560088579330078,-23.949275484452905
6,2022-01-09,2022-02-05,28,-72.13585951329347,2022-01-24,36702.79,41418.21,2.3679680990559504,-5.512985713288909,4.94468495862086
7,2022-04-18,2022-05-30,43,-80.69537355143756,2022-05-12,28915.72,31716.41,-5.733656488864902,-35.204173486217385,-25.44543975815674
8,2022-06-14,2022-07-07,24,-75.42269982700424,2022-06-30,19908.49,21611.8,-6.389981399050515,10.382522510850567,-13.047733182798282
9,2022-08-31,2022-09-11,12,-71.52186132806567,2022-09-07,19287.52,21836.45,-7.868037158054541,-12.7232219522862,-22.113163998726893
10,2022-11-20,2022-12-01,12,-60.73800992338357,2022-11-28,16207.01,16978.64,-0.8292183590676294,-0.9578505698925266,36.22822558226102
11,2023-01-03,2023-01-05,3,-36.145814163469026,2023-01-04,16846.82,16825.87,6.6096433646521735,36.748649549770704,31.94824398381777
12,2023-03-10,2023-03-16,7,-48.317840842782125,2023-03-12,22183.71,25049.83,9.04736678851712,11.950819626320808,7.931151628573918
13,2023-05-18,2023-05-30,13,-58.83412871863666,2023-05-27,26872.59,27703.56,-7.086092906471231,2.2227829203178118,5.70244401802511
14,2023-06-11,2023-06-16,6,-35.85924310536553,2023-06-14,25125.73,26330.59,13.528827117052833,15.263995223806216,9.00933097207468
15,2023-06-18,2023-06-20,3,-35.837421061984124,2023-06-19,26842.09,28319.35,6.894791017449209,8.147326827769707,-7.5154973542824965
16,2023-07-26,2023-08-13,19,-62.65898871167112,2023-08-05,29050.34,29281.55,-10.879717774503062,-11.30466112620404,-8.259979406827844
17,2023-08-16,2023-09-12,28,-65.95232749549157,2023-09-04,25816.24,25840.34,3.5892716581902517,6.146668348791073,43.49563511935215
18,2024-04-29,2024-05-06,8,-61.11502403925897,2024-05-02,59083.85,63168.44,-2.705813219386133,9.844140523337286,-7.777285619211116
19,2024-05-12,2024-05-14,3,-35.225274610668016,2024-05-14,61548.48,61548.48,16.055229958562723,14.622668179620346,-1.1855857366420808
20,2024-06-24,2024-07-15,22,-73.95534580772312,2024-06-30,62685.88,64765.55,5.267352782459178,-16.573209059445958,-7.337681838570043
21,2024-08-15,2024-08-22,8,-46.218111610047316,2024-08-19,59464.41,60387.29,-2.225286148790584,-3.7204517705629825,11.596860862608672
22,2025-02-12,2025-03-20,37,-69.28082514604469,2025-03-14,83995.47,84178.31,3.2616953227024847,-5.492329318561984,26.96367983629038
23,2025-08-31,2025-09-09,10,-57.03923637645431,2025-09-04,110732.33,111549.14,3.453114923163003,2.2671981155569565,
