date,height,size,tx_count,fee_total,difficulty
2025-10-07,917941,1624854,3837,0,150839487445890.5
2025-10-07,917940,1641416,3933,0,150839487445890.5
2025-10-07,917939,1549948,3635,0,150839487445890.5
2025-10-07,917938,1694102,2610,0,150839487445890.5
2025-10-07,917937,1721734,3251,0,150839487445890.5
2025-10-07,917936,2038693,5038,0,150839487445890.5
2025-10-07,917935,1312363,1048,0,150839487445890.5
2025-10-07,917934,1625625,3844,0,150839487445890.5
2025-10-07,917933,1641377,3469,0,150839487445890.5
2025-10-07,917932,1711871,2024,0,150839487445890.5
